日期,负载电量kWh,光伏电量kWh,负载峰值kW,光伏峰值kW,平均电价元每kWh,光伏负载比
2025-06-22,126539.4619,59082.1208,7279.1600,7457.9950,0.8075,0.4669
2025-06-23,126690.8731,59629.5871,7056.9931,7627.9975,0.8049,0.4707
2025-06-24,127112.8450,50844.0528,7156.4187,6472.0500,0.8405,0.4000
2025-06-25,126310.4084,55872.9871,7070.1100,6720.9071,0.8163,0.4423
2025-06-26,126697.4454,59150.0615,7153.1245,8081.5233,0.8060,0.4669
2025-06-27,79563.2550,59791.6091,4191.3944,7986.9642,0.6051,0.7515
2025-06-28,80661.5728,58884.6467,4214.7846,8626.2441,0.6230,0.7300
2025-06-29,126384.8087,57117.0402,7106.6146,7585.2486,0.8118,0.4519
2025-06-30,125947.3206,56069.6366,7085.4956,7534.9875,0.8102,0.4452
2025-07-01,141546.8511,62680.3070,7882.3436,7946.3250,0.8908,0.4428
2025-07-02,141198.6582,68293.8918,7797.5800,8417.7884,0.8753,0.4837
2025-07-03,141565.5386,61805.1197,7892.8130,7924.8750,0.9014,0.4366
2025-07-04,95795.0658,66914.1983,4918.0681,9260.3625,0.6903,0.6985
2025-07-05,95872.8349,67082.7549,5123.7797,8910.5671,0.6843,0.6997
2025-07-06,141244.5746,61450.5931,7889.8151,8332.8511,0.8987,0.4351
2025-07-07,141495.3942,68085.9114,7622.4699,8540.5125,0.8774,0.4812
2025-07-08,141285.2270,65713.8400,7923.8422,9384.2706,0.8836,0.4651
2025-07-09,140590.7050,66531.9799,7916.9667,8346.9934,0.8792,0.4732
2025-07-10,140463.5422,67609.9189,7846.4899,8971.2000,0.8775,0.4813
2025-07-11,94741.0884,62222.3112,5043.0197,7599.6379,0.7069,0.6568
2025-07-12,95318.3711,64234.1278,4790.1271,8360.4385,0.6943,0.6739
2025-07-13,139893.3665,70625.6461,7782.3328,9752.2309,0.8543,0.5049
2025-07-14,141062.4235,69254.7442,7681.8848,8723.2398,0.8722,0.4910
2025-07-15,139545.1627,66796.1121,7671.6125,8475.8418,0.8721,0.4787
2025-07-16,140365.2654,68230.7020,7978.8849,8874.2427,0.8758,0.4861
2025-07-17,139569.1593,66848.7432,7692.7679,8810.3625,0.8748,0.4790
2025-07-18,93698.0732,62423.8251,5020.9100,8135.5500,0.6942,0.6662
2025-07-19,94564.5224,67381.7033,4868.0600,8872.7250,0.6803,0.7125
2025-07-20,138750.5388,66660.5605,7896.2098,8326.9290,0.8676,0.4804
2025-07-21,138442.8198,64453.0704,7769.0612,8524.4250,0.8792,0.4656
2025-07-22,139514.8588,65719.7142,7664.0900,8928.7562,0.8751,0.4711
2025-07-23,139450.0336,65233.4865,7631.3800,8857.6875,0.8756,0.4678
2025-07-24,138902.2175,65285.7455,7595.1400,8561.2113,0.8774,0.4700
2025-07-25,92354.8397,65849.5201,4713.7100,8441.5951,0.6770,0.7130
2025-07-26,93187.6899,64718.5984,4804.3100,7935.3375,0.6880,0.6945
2025-07-27,138110.1963,64425.0065,7550.2155,8642.1774,0.8771,0.4665
2025-07-28,138228.9984,60274.1212,7823.2703,7662.7010,0.8862,0.4360
2025-07-29,138314.7451,62245.4992,7609.3426,7832.7313,0.8846,0.4500
2025-07-30,138424.3644,64321.1104,7601.4676,8521.3125,0.8797,0.4647
2025-07-31,137423.3137,62728.3175,7819.2532,8162.5183,0.8814,0.4565
2025-08-01,92719.4241,71468.0644,4836.8200,9468.7681,0.6664,0.7708
2025-08-02,91562.2442,70635.2193,4897.4200,9400.1789,0.6622,0.7714
2025-08-03,138062.4861,75223.0062,7599.5088,9887.7510,0.8334,0.5448
2025-08-04,138312.1069,72896.4519,7873.0130,9342.5452,0.8448,0.5270
2025-08-05,136458.4973,71306.1876,7501.0739,9186.9375,0.8446,0.5225
2025-08-06,136716.0878,68601.6885,7676.3702,9131.5849,0.8577,0.5018
2025-08-07,136850.7545,73462.7692,7598.5070,9737.2500,0.8411,0.5368
2025-08-08,90703.2161,74928.0449,4708.4300,9936.4883,0.6380,0.8261
2025-08-09,90303.8317,71381.9027,4720.4500,8915.2186,0.6530,0.7905
2025-08-10,136535.4447,71230.8257,7622.5300,9440.3365,0.8487,0.5217
2025-08-11,136422.2635,71861.0102,7463.9667,9412.2731,0.8396,0.5268
2025-08-12,136637.5967,68877.0530,7648.5157,9159.5196,0.8574,0.5041
2025-08-13,136547.9972,70427.0177,7936.3951,9264.4215,0.8532,0.5158
2025-08-14,135936.0554,70009.7644,7696.8218,9136.0412,0.8501,0.5150
2025-08-15,89968.0578,72808.3309,4772.1000,9494.2005,0.6512,0.8093
2025-08-16,90183.5303,73254.2500,4701.2243,9764.3257,0.6473,0.8123
2025-08-17,135369.1165,72203.7229,7597.2390,9597.1870,0.8399,0.5334
2025-08-18,135710.1747,71316.0591,7824.5106,10003.9125,0.8476,0.5255
2025-08-19,135364.4829,71046.8228,7408.1400,9176.1750,0.8429,0.5249
2025-08-20,135048.0537,64397.3626,7581.9800,8693.7750,0.8663,0.4768
2025-08-21,134971.7989,69127.3804,7582.1384,8984.8875,0.8472,0.5122
2025-08-22,90531.7304,69301.1610,4832.0900,9318.5625,0.6605,0.7655
2025-08-23,89697.1462,67167.1401,4650.6100,9101.1098,0.6592,0.7488
2025-08-24,135068.0714,71334.4819,7501.0286,10057.9095,0.8410,0.5281
2025-08-25,134511.6137,63738.5267,7474.1660,8478.0375,0.8602,0.4739
2025-08-26,134368.9639,68840.1455,7435.3109,9927.1136,0.8444,0.5123
2025-08-27,133788.3821,65874.2332,7416.8085,9230.3250,0.8534,0.4924
2025-08-28,134543.8166,63776.0216,7499.0963,8832.4500,0.8635,0.4740
2025-08-29,88328.3325,65773.1122,4649.3400,8981.5527,0.6645,0.7446
2025-08-30,89025.0876,70512.3677,4791.9135,9674.2253,0.6547,0.7921
2025-08-31,133365.3598,66718.7367,7264.4649,8731.8377,0.8465,0.5003
2025-09-01,121263.6193,67689.4847,6734.6809,8525.7745,0.7517,0.5582
2025-09-02,121532.8242,67475.0683,6764.4673,9248.9692,0.7540,0.5552
2025-09-03,121433.7164,65885.9992,6824.5643,9245.2094,0.7610,0.5426
2025-09-04,121061.1730,67135.6075,6764.8611,9128.0340,0.7570,0.5546
2025-09-05,75132.9805,68308.7188,3929.8918,8928.2625,0.5586,0.9092
2025-09-06,75826.3742,68105.2905,4064.3200,9767.5500,0.5657,0.8982
2025-09-07,120781.0090,65820.0254,6989.0914,8789.0036,0.7593,0.5450
2025-09-08,121400.5924,62005.0229,6862.3167,8995.6357,0.7735,0.5107
2025-09-09,121082.2356,67979.4013,6764.9558,9964.3484,0.7519,0.5614
2025-09-10,121274.7885,59958.7898,6754.0714,8631.9525,0.7818,0.4944
2025-09-11,120746.7783,67250.6926,6881.9950,9834.1074,0.7531,0.5570
2025-09-12,75687.2271,64135.5709,3887.0686,8731.4825,0.5751,0.8474
2025-09-13,75063.5831,67056.4816,3920.1500,10105.3207,0.5665,0.8933
2025-09-14,121237.6957,61138.3709,6808.1205,8744.1664,0.7759,0.5043
2025-09-15,120760.0299,65692.9992,6880.9500,9635.6250,0.7617,0.5440
2025-09-16,121843.3575,62351.5875,6779.0099,8488.7327,0.7779,0.5117
2025-09-17,120924.7950,60964.6766,6777.1090,9158.4375,0.7781,0.5042
2025-09-18,120804.1164,61848.0652,6724.2704,9213.9306,0.7698,0.5120
2025-09-19,75287.1265,59185.7741,3913.4669,8277.2625,0.5933,0.7861
2025-09-20,75330.7276,59685.2939,3996.0539,9012.3736,0.5875,0.7923
2025-09-21,120862.2830,62574.7955,6719.8988,8610.5260,0.7738,0.5177
2025-09-22,121218.0417,60604.0218,6824.7300,8321.7803,0.7822,0.5000
2025-09-23,121182.2813,59065.6658,6704.9712,8690.3915,0.7818,0.4874
2025-09-24,121014.1934,59950.9683,6713.8223,8621.0428,0.7761,0.4954
2025-09-25,120546.3472,60210.8982,6677.8075,8561.9250,0.7776,0.4995
2025-09-26,74194.3537,56500.1102,3879.0400,8136.6000,0.5928,0.7615
2025-09-27,75945.7717,58144.4695,4019.5900,8454.6750,0.5997,0.7656
2025-09-28,120389.6196,56901.9904,6954.9249,8362.6324,0.7894,0.4726
2025-09-29,121111.4148,58351.5232,6726.0286,8619.0719,0.7878,0.4818
2025-09-30,120916.4551,55494.2803,6818.2124,9028.0125,0.7938,0.4589
2025-10-01,117218.4547,67556.9332,6738.7900,10076.8909,0.7382,0.5763
2025-10-02,117231.7098,65500.9267,6759.4466,9607.5180,0.7420,0.5587
2025-10-03,71524.1911,63707.0374,3886.8450,9495.2286,0.5580,0.8907
2025-10-04,72397.4148,59301.4324,3958.0400,8838.9316,0.5858,0.8191
2025-10-05,117604.4209,62868.4598,6835.9028,9050.0959,0.7526,0.5346
2025-10-06,117896.1361,60163.0269,6745.9787,8657.3389,0.7685,0.5103
2025-10-07,117357.1786,59585.6156,6789.0587,8732.9297,0.7658,0.5077
2025-10-08,117391.0623,60912.5667,6988.0408,8700.2250,0.7607,0.5189
2025-10-09,117432.9897,61673.0081,6843.4350,9347.3659,0.7578,0.5252
2025-10-10,72371.5301,63027.9192,4054.5203,9899.7375,0.5595,0.8709
2025-10-11,71790.9647,57684.6512,3922.5200,8518.4250,0.5846,0.8035
2025-10-12,117709.3842,59194.4282,6754.7100,8490.1519,0.7663,0.5029
2025-10-13,117677.7538,60650.3585,6724.6440,9319.0239,0.7647,0.5154
2025-10-14,118032.2292,57258.3999,6769.2800,8790.1875,0.7731,0.4851
2025-10-15,117342.4808,55422.4571,6788.1916,8401.4329,0.7761,0.4723
2025-10-16,117733.2763,54766.8034,6711.4436,8532.5250,0.7822,0.4652
2025-10-17,71943.1725,55938.9732,3911.5600,8515.2950,0.5888,0.7775
2025-10-18,71656.7014,55580.1082,3959.7700,8155.1100,0.5831,0.7756
2025-10-19,117991.2474,54105.5248,6835.4572,8732.3890,0.7894,0.4586
2025-10-20,117903.3186,53462.5363,6701.0600,8426.4273,0.7871,0.4534
2025-10-21,117800.8490,51338.2676,6711.2730,7712.0250,0.7953,0.4358
2025-10-22,117671.9865,52117.0898,6786.4352,8013.1663,0.7930,0.4429
2025-10-23,117212.0155,53832.5185,6657.7375,8373.7162,0.7813,0.4593
2025-10-24,72135.5185,53715.4678,3886.7500,8513.0381,0.5964,0.7446
2025-10-25,72042.7870,52644.3543,3941.0120,8395.8375,0.5985,0.7307
2025-10-26,117422.3443,52878.0323,6736.0178,8161.0500,0.7873,0.4503
2025-10-27,117790.5643,54237.9826,6847.2000,9378.2902,0.7829,0.4605
2025-10-28,117514.1448,51541.7231,6900.4850,8188.2057,0.7931,0.4386
2025-10-29,117721.6145,48409.3577,6805.1934,7776.0490,0.8070,0.4112
2025-10-30,116916.0706,52128.2529,6621.7587,8077.3125,0.7920,0.4459
2025-10-31,71748.9890,47844.6970,3904.8716,7220.7082,0.6177,0.6668
2025-11-01,71974.2095,49430.1711,4146.0000,7784.8365,0.6046,0.6868
2025-11-02,117843.2363,49046.8524,6728.5200,7893.6375,0.8022,0.4162
2025-11-03,117808.9150,48303.9848,6760.6400,7151.3340,0.8055,0.4100
2025-11-04,117396.6107,49816.5387,6737.2865,8212.6875,0.7976,0.4243
2025-11-05,117764.4076,48086.3875,6859.9100,7525.8475,0.8090,0.4083
2025-11-06,117713.0941,46343.5096,6805.1088,7272.4678,0.8151,0.3937
2025-11-07,72212.3787,48893.9169,3953.1600,7983.1221,0.6155,0.6771
2025-11-08,72034.8668,48243.6597,4020.4209,7651.0875,0.6173,0.6697
2025-11-09,117877.6702,46530.8530,6733.1800,7329.7894,0.8103,0.3947
2025-11-10,118420.1028,44561.6597,6768.8500,6936.4154,0.8190,0.3763
2025-11-11,117957.8674,46398.8478,6705.0900,7499.8500,0.8139,0.3934
2025-11-12,117416.7138,46460.7261,6793.4453,7891.9359,0.8124,0.3957
2025-11-13,117780.1073,45384.2360,6747.6715,7249.1215,0.8185,0.3853
2025-11-14,71737.8931,44139.4378,3953.3300,6884.6832,0.6291,0.6153
2025-11-15,72466.9768,44255.0899,4103.9797,7200.3025,0.6288,0.6107
2025-11-16,118360.2702,43925.7258,6842.8700,7466.2132,0.8206,0.3711
2025-11-17,117269.7106,44573.9563,6765.9265,7702.9804,0.8159,0.3801
2025-11-18,117783.6865,42893.1347,6822.0939,6812.8700,0.8219,0.3642
2025-11-19,118179.7014,42811.3898,6700.6715,7174.9457,0.8290,0.3623
2025-11-20,117846.4572,43053.3812,7006.8880,7010.6613,0.8212,0.3653
2025-11-21,71999.1771,43134.7930,4050.8300,6820.8000,0.6326,0.5991
2025-11-22,72549.9101,42330.0806,3919.1000,7069.0444,0.6367,0.5835
2025-11-23,117782.6922,42550.5959,6778.5543,7297.4140,0.8265,0.3613
2025-11-24,117975.6878,43813.7441,6750.7663,7090.6500,0.8211,0.3714
2025-11-25,117682.3922,41513.7317,6631.3100,6837.7875,0.8241,0.3528
2025-11-26,117686.4367,40928.7698,6960.4100,6435.7337,0.8299,0.3478
2025-11-27,117198.1417,41417.2489,6877.6699,6848.9250,0.8286,0.3534
2025-11-28,72239.0213,41317.7827,3902.5273,6811.5013,0.6340,0.5720
2025-11-29,72156.1999,37226.7498,4026.7500,5752.9795,0.6504,0.5159
2025-11-30,118008.8344,37764.0063,6931.8970,5982.3499,0.8396,0.3200
2025-12-01,125291.3916,38992.4639,7329.5700,6856.3368,0.9076,0.3112
2025-12-02,125400.6236,36762.8136,7370.3157,6294.0998,0.9153,0.2932
2025-12-03,124622.9311,37460.1826,7359.8300,6416.3250,0.9120,0.3006
2025-12-04,125336.2509,38565.0422,7507.0588,6477.1681,0.9051,0.3077
