日期,段,负载电量kWh,光伏电量kWh,净负荷kWh,负载均值kW,光伏均值kW
2025-01-05,16:00-20:00,21161.9728,609.2722,20552.7006,5290.4932,152.3180
2025-01-05,20:00-24:00,15717.9598,0.0000,15717.9598,3929.4899,0.0000
2025-01-06,0:00-4:00,15760.3815,0.0000,15760.3815,3940.0954,0.0000
2025-01-06,4:00-8:00,19795.6149,867.1201,18928.4948,4948.9037,216.7800
2025-01-06,8:00-12:00,28432.2359,16861.8531,11570.3828,7108.0590,4215.4633
2025-01-06,12:00-16:00,26059.8805,17821.2656,8238.6149,6514.9701,4455.3164
2025-01-06,16:00-20:00,21071.5735,643.9702,20427.6033,5267.8934,160.9926
2025-01-06,20:00-24:00,15707.0038,0.0000,15707.0038,3926.7510,0.0000
2025-01-07,0:00-4:00,15482.4996,0.0000,15482.4996,3870.6249,0.0000
2025-01-07,4:00-8:00,19984.0086,905.1862,19078.8224,4996.0022,226.2966
2025-01-07,8:00-12:00,28307.8413,17047.5963,11260.2450,7076.9603,4261.8991
2025-01-07,12:00-16:00,26455.6782,15746.3038,10709.3744,6613.9195,3936.5759
2025-01-07,16:00-20:00,21084.9119,661.4749,20423.4370,5271.2280,165.3687
2025-01-07,20:00-24:00,15612.5226,0.0000,15612.5226,3903.1306,0.0000
2025-01-08,0:00-4:00,15711.6142,0.0000,15711.6142,3927.9035,0.0000
2025-01-08,4:00-8:00,20175.1355,859.7809,19315.3546,5043.7839,214.9452
2025-01-08,8:00-12:00,28287.6187,17774.1139,10513.5048,7071.9047,4443.5285
2025-01-08,12:00-16:00,26188.2342,17878.9451,8309.2891,6547.0586,4469.7363
2025-01-08,16:00-20:00,20776.5926,657.1027,20119.4899,5194.1482,164.2757
2025-01-08,20:00-24:00,15556.7488,0.0000,15556.7488,3889.1872,0.0000
2025-01-09,0:00-4:00,15826.9426,0.0000,15826.9426,3956.7356,0.0000
2025-01-09,4:00-8:00,20026.3181,911.8499,19114.4682,5006.5795,227.9625
2025-01-09,8:00-12:00,28549.3278,18249.7436,10299.5841,7137.3319,4562.4359
2025-01-09,12:00-16:00,26167.8754,16147.7722,10020.1033,6541.9689,4036.9430
2025-01-09,16:00-20:00,20949.6137,665.6964,20283.9173,5237.4034,166.4241
2025-01-09,20:00-24:00,15546.5406,0.0000,15546.5406,3886.6352,0.0000
2025-01-10,0:00-4:00,11669.5288,0.0000,11669.5288,2917.3822,0.0000
2025-01-10,4:00-8:00,14114.2034,1073.0944,13041.1090,3528.5509,268.2736
2025-01-10,8:00-12:00,17350.8581,17775.8065,-424.9484,4337.7145,4443.9516
2025-01-10,12:00-16:00,15800.3328,16460.2140,-659.8812,3950.0832,4115.0535
2025-01-10,16:00-20:00,11929.0680,686.8568,11242.2112,2982.2670,171.7142
2025-01-10,20:00-24:00,10622.6473,0.0000,10622.6473,2655.6618,0.0000
2025-01-11,0:00-4:00,11969.0851,0.0000,11969.0851,2992.2713,0.0000
2025-01-11,4:00-8:00,13910.8892,896.9492,13013.9400,3477.7223,224.2373
2025-01-11,8:00-12:00,17029.7130,18015.7413,-986.0283,4257.4283,4503.9353
2025-01-11,12:00-16:00,15792.3396,17080.5680,-1288.2284,3948.0849,4270.1420
2025-01-11,16:00-20:00,11884.8576,751.0499,11133.8078,2971.2144,187.7625
2025-01-11,20:00-24:00,11023.3104,0.0000,11023.3104,2755.8276,0.0000
2025-01-12,0:00-4:00,15638.0704,0.0000,15638.0704,3909.5176,0.0000
2025-01-12,4:00-8:00,19932.7608,951.6181,18981.1427,4983.1902,237.9045
2025-01-12,8:00-12:00,28090.2300,16944.2879,11145.9421,7022.5575,4236.0720
2025-01-12,12:00-16:00,26160.2029,17032.0873,9128.1156,6540.0507,4258.0218
2025-01-12,16:00-20:00,21031.9912,725.4452,20306.5460,5257.9978,181.3613
2025-01-12,20:00-24:00,15666.0716,0.0000,15666.0716,3916.5179,0.0000
2025-01-13,0:00-4:00,15619.3513,0.0000,15619.3513,3904.8378,0.0000
2025-01-13,4:00-8:00,19952.1354,1081.4989,18870.6365,4988.0338,270.3747
2025-01-13,8:00-12:00,28504.4335,18585.0223,9919.4111,7126.1084,4646.2556
2025-01-13,12:00-16:00,26119.6352,18289.7307,7829.9045,6529.9088,4572.4327
2025-01-13,16:00-20:00,20872.9091,750.1509,20122.7582,5218.2273,187.5377
2025-01-13,20:00-24:00,15911.8952,0.0000,15911.8952,3977.9738,0.0000
2025-01-14,0:00-4:00,15910.3425,0.0000,15910.3425,3977.5856,0.0000
2025-01-14,4:00-8:00,20067.0096,1017.4539,19049.5557,5016.7524,254.3635
2025-01-14,8:00-12:00,28357.3334,18301.3205,10056.0129,7089.3333,4575.3301
2025-01-14,12:00-16:00,25956.5024,17744.1603,8212.3422,6489.1256,4436.0401
2025-01-14,16:00-20:00,20959.1932,766.2430,20192.9502,5239.7983,191.5608
2025-01-14,20:00-24:00,15859.1094,0.0000,15859.1094,3964.7774,0.0000
2025-01-15,0:00-4:00,15622.8061,0.0000,15622.8061,3905.7015,0.0000
2025-01-15,4:00-8:00,19834.0603,992.9151,18841.1452,4958.5151,248.2288
2025-01-15,8:00-12:00,28484.9690,17932.7024,10552.2666,7121.2423,4483.1756
2025-01-15,12:00-16:00,26197.0317,17178.1717,9018.8600,6549.2579,4294.5429
2025-01-15,16:00-20:00,21054.9587,789.7668,20265.1920,5263.7397,197.4417
2025-01-15,20:00-24:00,15770.0731,0.0000,15770.0731,3942.5183,0.0000
2025-01-16,0:00-4:00,15605.5483,0.0000,15605.5483,3901.3871,0.0000
2025-01-16,4:00-8:00,20099.0986,936.8831,19162.2155,5024.7747,234.2208
2025-01-16,8:00-12:00,28405.4057,17538.4795,10866.9262,7101.3514,4384.6199
2025-01-16,12:00-16:00,26085.4547,18506.8982,7578.5565,6521.3637,4626.7245
2025-01-16,16:00-20:00,20987.9625,751.3519,20236.6106,5246.9906,187.8380
2025-01-16,20:00-24:00,15624.2943,0.0000,15624.2943,3906.0736,0.0000
2025-01-17,0:00-4:00,11567.0367,0.0000,11567.0367,2891.7592,0.0000
2025-01-17,4:00-8:00,14132.0081,1087.0607,13044.9474,3533.0020,271.7652
2025-01-17,8:00-12:00,17195.5249,18592.5829,-1397.0580,4298.8812,4648.1457
2025-01-17,12:00-16:00,15519.0799,17703.4881,-2184.4082,3879.7700,4425.8720
2025-01-17,16:00-20:00,11713.5794,803.8310,10909.7485,2928.3949,200.9577
2025-01-17,20:00-24:00,10748.8471,0.0000,10748.8471,2687.2118,0.0000
2025-01-18,0:00-4:00,11699.8981,0.0000,11699.8981,2924.9745,0.0000
2025-01-18,4:00-8:00,13874.0317,1160.0131,12714.0187,3468.5079,290.0033
2025-01-18,8:00-12:00,16929.3973,17924.2702,-994.8729,4232.3493,4481.0676
2025-01-18,12:00-16:00,15774.5973,18148.1214,-2373.5240,3943.6493,4537.0303
2025-01-18,16:00-20:00,11771.9517,733.1438,11038.8079,2942.9879,183.2860
2025-01-18,20:00-24:00,11158.1812,0.0000,11158.1812,2789.5453,0.0000
2025-01-19,0:00-4:00,15554.9015,0.0000,15554.9015,3888.7254,0.0000
2025-01-19,4:00-8:00,19636.1369,1083.1849,18552.9520,4909.0342,270.7962
2025-01-19,8:00-12:00,28338.7146,18639.1485,9699.5661,7084.6787,4659.7871
2025-01-19,12:00-16:00,26126.9804,17023.2202,9103.7602,6531.7451,4255.8050
2025-01-19,16:00-20:00,20891.0028,782.1531,20108.8497,5222.7507,195.5383
2025-01-19,20:00-24:00,15663.1100,0.0000,15663.1100,3915.7775,0.0000
2025-01-20,0:00-4:00,15553.2867,0.0000,15553.2867,3888.3217,0.0000
2025-01-20,4:00-8:00,20063.0017,976.1212,19086.8805,5015.7504,244.0303
2025-01-20,8:00-12:00,28488.9240,18401.9507,10086.9733,7122.2310,4600.4877
2025-01-20,12:00-16:00,25986.4305,18284.8912,7701.5393,6496.6076,4571.2228
2025-01-20,16:00-20:00,20929.1373,835.6266,20093.5107,5232.2843,208.9066
2025-01-20,20:00-24:00,15544.8859,0.0000,15544.8859,3886.2215,0.0000
2025-01-21,0:00-4:00,15506.9754,0.0000,15506.9754,3876.7438,0.0000
2025-01-21,4:00-8:00,20094.1027,1147.7213,18946.3813,5023.5257,286.9303
2025-01-21,8:00-12:00,28104.1794,20712.3916,7391.7878,7026.0448,5178.0979
2025-01-21,12:00-16:00,25871.7614,19617.0240,6254.7375,6467.9404,4904.2560
2025-01-21,16:00-20:00,20686.4566,797.1043,19889.3523,5171.6141,199.2761
2025-01-21,20:00-24:00,15486.6704,0.0000,15486.6704,3871.6676,0.0000
2025-01-22,0:00-4:00,15410.5523,0.0000,15410.5523,3852.6381,0.0000
2025-01-22,4:00-8:00,20002.7776,1199.2390,18803.5386,5000.6944,299.8098
2025-01-22,8:00-12:00,28293.8995,18256.4793,10037.4202,7073.4749,4564.1198
2025-01-22,12:00-16:00,26091.2848,17400.0488,8691.2360,6522.8212,4350.0122
2025-01-22,16:00-20:00,20976.8913,925.0570,20051.8342,5244.2228,231.2642
2025-01-22,20:00-24:00,15904.1830,0.0000,15904.1830,3976.0457,0.0000
2025-01-23,0:00-4:00,15558.1625,0.0000,15558.1625,3889.5406,0.0000
2025-01-23,4:00-8:00,19954.7248,1118.9568,18835.7680,4988.6812,279.7392
2025-01-23,8:00-12:00,28228.4446,17675.7278,10552.7168,7057.1112,4418.9320
2025-01-23,12:00-16:00,26149.0499,17147.7942,9001.2557,6537.2625,4286.9486
2025-01-23,16:00-20:00,20868.0006,847.0267,20020.9739,5217.0002,211.7567
2025-01-23,20:00-24:00,15597.0487,0.0000,15597.0487,3899.2622,0.0000
2025-01-24,0:00-4:00,11834.3325,0.0000,11834.3325,2958.5831,0.0000
2025-01-24,4:00-8:00,13889.4852,1154.1169,12735.3683,3472.3713,288.5292
2025-01-24,8:00-12:00,16912.4548,19855.0932,-2942.6384,4228.1137,4963.7733
2025-01-24,12:00-16:00,15547.6511,18589.0966,-3041.4455,3886.9128,4647.2742
2025-01-24,16:00-20:00,11479.7424,911.8158,10567.9266,2869.9356,227.9539
2025-01-24,20:00-24:00,10675.8696,0.0000,10675.8696,2668.9674,0.0000
2025-01-25,0:00-4:00,11838.8637,0.0000,11838.8637,2959.7159,0.0000
2025-01-25,4:00-8:00,13876.3654,1154.4758,12721.8897,3469.0914,288.6189
2025-01-25,8:00-12:00,16953.0827,19914.3687,-2961.2860,4238.2707,4978.5922
2025-01-25,12:00-16:00,15438.4329,20212.5101,-4774.0772,3859.6082,5053.1275
2025-01-25,16:00-20:00,11607.4835,911.1342,10696.3493,2901.8709,227.7836
2025-01-25,20:00-24:00,10917.8360,0.0000,10917.8360,2729.4590,0.0000
2025-01-26,0:00-4:00,15395.2470,0.0000,15395.2470,3848.8117,0.0000
2025-01-26,4:00-8:00,20135.3698,1182.7890,18952.5807,5033.8424,295.6973
2025-01-26,8:00-12:00,28358.2040,19325.3787,9032.8253,7089.5510,4831.3447
2025-01-26,12:00-16:00,26002.2121,17243.0506,8759.1615,6500.5530,4310.7626
2025-01-26,16:00-20:00,20944.0116,934.8403,20009.1713,5236.0029,233.7101
2025-01-26,20:00-24:00,15550.0042,0.0000,15550.0042,3887.5010,0.0000
2025-01-27,0:00-4:00,15360.4061,0.0000,15360.4061,3840.1015,0.0000
2025-01-27,4:00-8:00,20055.1148,1259.7178,18795.3970,5013.7787,314.9295
2025-01-27,8:00-12:00,27915.3016,20399.5647,7515.7368,6978.8254,5099.8912
2025-01-27,12:00-16:00,25920.3858,18797.3393,7123.0465,6480.0965,4699.3348
2025-01-27,16:00-20:00,20688.5714,991.4116,19697.1598,5172.1429,247.8529
2025-01-27,20:00-24:00,15703.1705,0.0000,15703.1705,3925.7926,0.0000
2025-01-28,0:00-4:00,15705.2961,0.0000,15705.2961,3926.3240,0.0000
2025-01-28,4:00-8:00,20014.3709,1293.0561,18721.3148,5003.5927,323.2640
2025-01-28,8:00-12:00,28354.6653,19288.5836,9066.0817,7088.6663,4822.1459
2025-01-28,12:00-16:00,26054.2990,17928.7045,8125.5945,6513.5747,4482.1761
2025-01-28,16:00-20:00,20828.3418,1005.8674,19822.4744,5207.0855,251.4669
2025-01-28,20:00-24:00,15539.6377,0.0000,15539.6377,3884.9094,0.0000
2025-01-29,0:00-4:00,15341.1551,0.0000,15341.1551,3835.2888,0.0000
2025-01-29,4:00-8:00,19869.2244,1439.1294,18430.0950,4967.3061,359.7824
2025-01-29,8:00-12:00,28446.0587,21156.7013,7289.3575,7111.5147,5289.1753
2025-01-29,12:00-16:00,25834.3120,20406.9820,5427.3300,6458.5780,5101.7455
2025-01-29,16:00-20:00,20429.5432,1037.4311,19392.1121,5107.3858,259.3578
2025-01-29,20:00-24:00,15505.1514,0.0000,15505.1514,3876.2878,0.0000
2025-01-30,0:00-4:00,15489.5203,0.0000,15489.5203,3872.3801,0.0000
2025-01-30,4:00-8:00,19769.8188,1290.7425,18479.0763,4942.4547,322.6856
2025-01-30,8:00-12:00,28402.0910,19572.3836,8829.7074,7100.5228,4893.0959
2025-01-30,12:00-16:00,26001.0594,20340.4356,5660.6238,6500.2648,5085.1089
2025-01-30,16:00-20:00,21017.5031,1064.9055,19952.5977,5254.3758,266.2264
2025-01-30,20:00-24:00,15331.0572,0.0000,15331.0572,3832.7643,0.0000
2025-01-31,0:00-4:00,11700.3067,0.0000,11700.3067,2925.0767,0.0000
2025-01-31,4:00-8:00,13916.1490,1364.8111,12551.3379,3479.0372,341.2028
2025-01-31,8:00-12:00,16847.6049,19194.4183,-2346.8134,4211.9012,4798.6046
2025-01-31,12:00-16:00,15515.6504,19545.0402,-4029.3898,3878.9126,4886.2600
2025-01-31,16:00-20:00,11504.6120,1141.3273,10363.2847,2876.1530,285.3318
2025-01-31,20:00-24:00,10525.5970,0.0000,10525.5970,2631.3993,0.0000
2025-02-01,0:00-4:00,10980.9150,0.0000,10980.9150,2745.2288,0.0000
2025-02-01,4:00-8:00,13057.0695,1357.0758,11699.9937,3264.2674,339.2690
2025-02-01,8:00-12:00,16028.3122,20286.8487,-4258.5366,4007.0780,5071.7122
2025-02-01,12:00-16:00,14566.3106,19220.5508,-4654.2402,3641.5777,4805.1377
2025-02-01,16:00-20:00,11199.3621,1062.5550,10136.8071,2799.8405,265.6388
2025-02-01,20:00-24:00,10473.2369,0.0000,10473.2369,2618.3092,0.0000
2025-02-02,0:00-4:00,14841.6324,0.0000,14841.6324,3710.4081,0.0000
2025-02-02,4:00-8:00,18858.7008,1435.8471,17422.8537,4714.6752,358.9618
2025-02-02,8:00-12:00,27333.4959,20438.4260,6895.0698,6833.3740,5109.6065
2025-02-02,12:00-16:00,25296.0338,20390.5903,4905.4435,6324.0085,5097.6476
2025-02-02,16:00-20:00,20460.4962,1084.8312,19375.6650,5115.1241,271.2078
2025-02-02,20:00-24:00,14915.6136,0.0000,14915.6136,3728.9034,0.0000
2025-02-03,0:00-4:00,14848.6930,0.0000,14848.6930,3712.1733,0.0000
2025-02-03,4:00-8:00,19399.7280,1668.4554,17731.2725,4849.9320,417.1139
2025-02-03,8:00-12:00,27481.0228,20335.9418,7145.0810,6870.2557,5083.9854
2025-02-03,12:00-16:00,25174.7544,19302.8510,5871.9034,6293.6886,4825.7127
2025-02-03,16:00-20:00,20578.8874,1079.6043,19499.2832,5144.7219,269.9011
2025-02-03,20:00-24:00,15120.6834,0.0000,15120.6834,3780.1708,0.0000
2025-02-04,0:00-4:00,14728.5383,0.0000,14728.5383,3682.1346,0.0000
2025-02-04,4:00-8:00,18946.7933,1369.1903,17577.6030,4736.6983,342.2976
2025-02-04,8:00-12:00,27236.6855,19382.9792,7853.7063,6809.1714,4845.7448
2025-02-04,12:00-16:00,25181.3438,18549.2904,6632.0534,6295.3359,4637.3226
2025-02-04,16:00-20:00,20439.6060,1081.7750,19357.8311,5109.9015,270.4437
2025-02-04,20:00-24:00,15045.1319,0.0000,15045.1319,3761.2830,0.0000
2025-02-05,0:00-4:00,14903.8181,0.0000,14903.8181,3725.9545,0.0000
2025-02-05,4:00-8:00,19269.4998,1413.7243,17855.7755,4817.3749,353.4311
2025-02-05,8:00-12:00,27277.0932,18832.2212,8444.8720,6819.2733,4708.0553
2025-02-05,12:00-16:00,25014.0702,19780.3553,5233.7150,6253.5176,4945.0888
2025-02-05,16:00-20:00,20484.6668,1216.3567,19268.3101,5121.1667,304.0892
2025-02-05,20:00-24:00,15041.9364,0.0000,15041.9364,3760.4841,0.0000
2025-02-06,0:00-4:00,14881.7397,0.0000,14881.7397,3720.4349,0.0000
2025-02-06,4:00-8:00,18872.3236,1444.1301,17428.1935,4718.0809,361.0325
2025-02-06,8:00-12:00,27532.3820,19963.6899,7568.6921,6883.0955,4990.9225
2025-02-06,12:00-16:00,25418.7531,19379.1658,6039.5873,6354.6883,4844.7914
2025-02-06,16:00-20:00,20452.6166,1194.1197,19258.4970,5113.1542,298.5299
2025-02-06,20:00-24:00,15094.3477,0.0000,15094.3477,3773.5869,0.0000
2025-02-07,0:00-4:00,10885.3120,0.0000,10885.3120,2721.3280,0.0000
2025-02-07,4:00-8:00,12858.0146,1473.4111,11384.6035,3214.5037,368.3528
2025-02-07,8:00-12:00,16095.7223,19746.3081,-3650.5858,4023.9306,4936.5770
2025-02-07,12:00-16:00,14750.4986,21880.2450,-7129.7464,3687.6247,5470.0613
2025-02-07,16:00-20:00,11293.4198,1262.9529,10030.4669,2823.3550,315.7382
2025-02-07,20:00-24:00,10285.6295,0.0000,10285.6295,2571.4074,0.0000
2025-02-08,0:00-4:00,10707.6516,0.0000,10707.6516,2676.9129,0.0000
2025-02-08,4:00-8:00,12927.3917,1565.7572,11361.6345,3231.8479,391.4393
2025-02-08,8:00-12:00,15880.5680,21509.9714,-5629.4035,3970.1420,5377.4929
2025-02-08,12:00-16:00,14604.5535,19809.4731,-5204.9196,3651.1384,4952.3683
2025-02-08,16:00-20:00,11373.3165,1284.4231,10088.8935,2843.3291,321.1058
2025-02-08,20:00-24:00,10253.3062,0.0000,10253.3062,2563.3265,0.0000
2025-02-09,0:00-4:00,14704.0178,0.0000,14704.0178,3676.0045,0.0000
2025-02-09,4:00-8:00,18960.7548,1747.5221,17213.2327,4740.1887,436.8805
2025-02-09,8:00-12:00,27435.8308,19357.1024,8078.7284,6858.9577,4839.2756
2025-02-09,12:00-16:00,25124.8155,19536.7041,5588.1114,6281.2039,4884.1760
2025-02-09,16:00-20:00,20376.1556,1351.1590,19024.9966,5094.0389,337.7897
2025-02-09,20:00-24:00,14946.3290,0.0000,14946.3290,3736.5822,0.0000
2025-02-10,0:00-4:00,14551.8171,0.0000,14551.8171,3637.9543,0.0000
2025-02-10,4:00-8:00,19063.7068,1785.1883,17278.5184,4765.9267,446.2971
2025-02-10,8:00-12:00,27278.1703,22827.8956,4450.2746,6819.5426,5706.9739
2025-02-10,12:00-16:00,25080.9270,21234.2830,3846.6440,6270.2318,5308.5708
2025-02-10,16:00-20:00,20261.3571,1303.5600,18957.7971,5065.3393,325.8900
2025-02-10,20:00-24:00,15241.5863,0.0000,15241.5863,3810.3966,0.0000
2025-02-11,0:00-4:00,14586.2232,0.0000,14586.2232,3646.5558,0.0000
2025-02-11,4:00-8:00,18917.6162,1692.9610,17224.6552,4729.4040,423.2403
2025-02-11,8:00-12:00,27294.4031,21646.2641,5648.1389,6823.6008,5411.5660
2025-02-11,12:00-16:00,25233.1712,21553.8653,3679.3059,6308.2928,5388.4663
2025-02-11,16:00-20:00,20296.5397,1327.5940,18968.9457,5074.1349,331.8985
2025-02-11,20:00-24:00,15113.3283,0.0000,15113.3283,3778.3321,0.0000
2025-02-12,0:00-4:00,14416.2604,0.0000,14416.2604,3604.0651,0.0000
2025-02-12,4:00-8:00,19095.6456,1731.9543,17363.6914,4773.9114,432.9886
2025-02-12,8:00-12:00,27188.1070,22268.5768,4919.5302,6797.0267,5567.1442
2025-02-12,12:00-16:00,25073.7169,20731.2216,4342.4953,6268.4292,5182.8054
2025-02-12,16:00-20:00,20449.7080,1365.3641,19084.3439,5112.4270,341.3410
2025-02-12,20:00-24:00,15140.4150,0.0000,15140.4150,3785.1037,0.0000
2025-02-13,0:00-4:00,14877.0307,0.0000,14877.0307,3719.2577,0.0000
2025-02-13,4:00-8:00,18989.5137,1797.3999,17192.1138,4747.3784,449.3500
2025-02-13,8:00-12:00,27182.9305,24171.2265,3011.7041,6795.7326,6042.8066
2025-02-13,12:00-16:00,24975.4271,22383.7036,2591.7236,6243.8568,5595.9259
2025-02-13,16:00-20:00,20359.9773,1628.4747,18731.5026,5089.9943,407.1187
2025-02-13,20:00-24:00,14925.4043,0.0000,14925.4043,3731.3511,0.0000
2025-02-14,0:00-4:00,10876.9979,0.0000,10876.9979,2719.2495,0.0000
2025-02-14,4:00-8:00,12983.7864,1888.3805,11095.4058,3245.9466,472.0951
2025-02-14,8:00-12:00,15967.2305,20928.0093,-4960.7788,3991.8076,5232.0023
2025-02-14,12:00-16:00,14443.5263,21812.0766,-7368.5503,3610.8816,5453.0192
2025-02-14,16:00-20:00,11434.0725,1442.3696,9991.7029,2858.5181,360.5924
2025-02-14,20:00-24:00,10167.0243,0.0000,10167.0243,2541.7561,0.0000
2025-02-15,0:00-4:00,10781.5593,0.0000,10781.5593,2695.3898,0.0000
2025-02-15,4:00-8:00,12776.4506,1922.9475,10853.5030,3194.1126,480.7369
2025-02-15,8:00-12:00,15856.3195,21607.0503,-5750.7308,3964.0799,5401.7626
2025-02-15,12:00-16:00,14736.2359,21770.8055,-7034.5695,3684.0590,5442.7014
2025-02-15,16:00-20:00,11421.0823,1473.6579,9947.4245,2855.2706,368.4145
2025-02-15,20:00-24:00,10482.9046,0.0000,10482.9046,2620.7261,0.0000
2025-02-16,0:00-4:00,14592.0693,0.0000,14592.0693,3648.0173,0.0000
2025-02-16,4:00-8:00,18962.1111,1950.1255,17011.9856,4740.5278,487.5314
2025-02-16,8:00-12:00,27026.7266,20499.4920,6527.2346,6756.6816,5124.8730
2025-02-16,12:00-16:00,25139.7132,21926.6947,3213.0185,6284.9283,5481.6737
2025-02-16,16:00-20:00,20561.1644,1523.2860,19037.8784,5140.2911,380.8215
2025-02-16,20:00-24:00,14995.1927,0.0000,14995.1927,3748.7982,0.0000
2025-02-17,0:00-4:00,14665.3667,0.0000,14665.3667,3666.3417,0.0000
2025-02-17,4:00-8:00,18816.0193,2178.5441,16637.4752,4704.0048,544.6360
2025-02-17,8:00-12:00,26897.4344,23582.5052,3314.9292,6724.3586,5895.6263
2025-02-17,12:00-16:00,24955.7115,22406.6580,2549.0534,6238.9279,5601.6645
2025-02-17,16:00-20:00,20407.6671,1608.8024,18798.8647,5101.9168,402.2006
2025-02-17,20:00-24:00,15218.1739,0.0000,15218.1739,3804.5435,0.0000
2025-02-18,0:00-4:00,14532.3284,0.0000,14532.3284,3633.0821,0.0000
2025-02-18,4:00-8:00,18725.6449,2179.8403,16545.8046,4681.4112,544.9601
2025-02-18,8:00-12:00,27229.3653,23315.9880,3913.3773,6807.3413,5828.9970
2025-02-18,12:00-16:00,25339.5632,21995.5815,3343.9817,6334.8908,5498.8954
2025-02-18,16:00-20:00,20534.0514,1748.4736,18785.5778,5133.5129,437.1184
2025-02-18,20:00-24:00,14970.3180,0.0000,14970.3180,3742.5795,0.0000
2025-02-19,0:00-4:00,14710.5786,0.0000,14710.5786,3677.6447,0.0000
2025-02-19,4:00-8:00,18918.0760,2088.4700,16829.6061,4729.5190,522.1175
2025-02-19,8:00-12:00,27303.4889,23141.1096,4162.3794,6825.8722,5785.2774
2025-02-19,12:00-16:00,25019.8473,21972.9504,3046.8969,6254.9618,5493.2376
2025-02-19,16:00-20:00,20457.1940,1784.9368,18672.2572,5114.2985,446.2342
2025-02-19,20:00-24:00,15457.6092,0.0000,15457.6092,3864.4023,0.0000
2025-02-20,0:00-4:00,14531.1724,0.0000,14531.1724,3632.7931,0.0000
2025-02-20,4:00-8:00,18998.3642,2176.0833,16822.2810,4749.5911,544.0208
2025-02-20,8:00-12:00,27281.8910,22714.7046,4567.1864,6820.4728,5678.6762
2025-02-20,12:00-16:00,24898.7674,23421.7887,1476.9787,6224.6919,5855.4472
2025-02-20,16:00-20:00,20347.7291,1799.5468,18548.1824,5086.9323,449.8867
2025-02-20,20:00-24:00,15047.3328,0.0000,15047.3328,3761.8332,0.0000
2025-02-21,0:00-4:00,10815.6962,0.0000,10815.6962,2703.9240,0.0000
2025-02-21,4:00-8:00,12932.1864,2203.4815,10728.7049,3233.0466,550.8704
2025-02-21,8:00-12:00,15951.8330,23044.3806,-7092.5475,3987.9583,5761.0951
2025-02-21,12:00-16:00,14557.9116,23146.8700,-8588.9584,3639.4779,5786.7175
2025-02-21,16:00-20:00,11282.6990,1847.0079,9435.6911,2820.6748,461.7520
2025-02-21,20:00-24:00,10261.6758,0.0000,10261.6758,2565.4190,0.0000
2025-02-22,0:00-4:00,10896.5336,0.0000,10896.5336,2724.1334,0.0000
2025-02-22,4:00-8:00,12667.1894,2296.6530,10370.5363,3166.7973,574.1633
2025-02-22,8:00-12:00,15907.4594,22267.0734,-6359.6140,3976.8648,5566.7683
2025-02-22,12:00-16:00,14443.4185,21516.7754,-7073.3569,3610.8546,5379.1939
